X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8371781.6371912,4859327.17160286,9757,3021365E,Bus,Infodev,30,Eastbound,21365,Walnut St & 41st St,39.954463,-75.204994,Fall 2021,0,1,0,0,0,0
-8352874.46695792,4872326.37748644,9758,8822358N,Bus,Infodev,88,Northbound,22358,Rowland Av & Lansing St,40.043918,-75.035148,Fall 2021,4,5,2,2,1,0
-8369838.44415991,4865662.25706597,9759,61919N,Bus,Infodev,61,Northbound,919,Ridge Av & Lehigh Av,39.998073,-75.187538,Fall 2021,4,7,0,2,1,1
-8371926.01857075,4859349.97124349,9760,2121366W,Bus,Infodev,21,Westbound,21366,Walnut St & 42nd St,39.95462,-75.206291,Fall 2021,28,55,15,46,9,31
-8352863.44632833,4872356.33216535,9761,8822449S,Bus,Infodev,88,Southbound,22449,Rowland Av & Lansing St,40.044124,-75.035049,Fall 2021,2,1,0,1,1,0
-8373176.13645236,4871124.9204939,9762,3516181L,Bus,Infodev,35,Loop,16181,Ridge Av & Leverington Av,40.035655,-75.217521,Fall 2021,2,5,3,1,0,1
-8372186.72881819,4859389.32616033,9763,2121367W,Bus,Infodev,21,Westbound,21367,Walnut St & 43rd St,39.954891,-75.208633,Fall 2021,42,75,25,64,24,58
-8353227.7950217,4872116.69726831,9764,8822356N,Bus,Infodev,88,Northbound,22356,Rowland Av & Oakmont St,40.042476,-75.038322,Fall 2021,5,6,1,2,2,0
-8373176.13645236,4871124.9204939,9765,916181S,Bus,Infodev,9,Southbound,16181,Ridge Av & Leverington Av,40.035655,-75.217521,Fall 2021,43,20,17,9,9,4
-8372336.23089433,4859416.48259609,9766,2121368W,Bus,Infodev,21,Westbound,21368,Walnut St & 44th St,39.955078,-75.209976,Fall 2021,27,63,24,41,13,32
-8353215.88383618,4872142.28906842,9767,8822451S,Bus,Infodev,88,Southbound,22451,Rowland Av & Oakmont St,40.042652,-75.038215,Fall 2021,10,3,1,0,1,1
-8373148.97449661,4871112.27129158,9768,912300N,Bus,Infodev,9,Northbound,12300,Ridge Av & Leverington St,40.035568,-75.217277,Fall 2021,29,37,9,26,6,16
-8372510.33457793,4859444.07477264,9769,2121369W,Bus,Infodev,21,Westbound,21369,Walnut St & 45th St,39.955268,-75.21154,Fall 2021,42,86,23,54,15,40
-8352479.50540458,4872567.18076701,9770,8822360N,Bus,Infodev,88,Northbound,22360,Rowland Av & Rhawn St,40.045574,-75.0316,Fall 2021,9,8,2,2,1,2
-8372862.77208578,4870727.27800316,9771,27123S,Bus,Infodev,27,Southbound,123,Ridge Av & Lyceum Av,40.03292,-75.214706,Fall 2021,30,40,9,20,5,16
-8372731.9716841,4859479.65427135,9772,2121370W,Bus,Infodev,21,Westbound,21370,Walnut St & 46th St,39.955513,-75.213531,Fall 2021,19,47,10,33,6,26
-8353796.86025863,4871787.79035419,9773,8822353N,Bus,Infodev,88,Northbound,22353,Rowland Av & Ryan Av,40.040214,-75.043434,Fall 2021,20,11,3,1,0,1
