X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8358525.37826906,4867897.86146342,81,323964E,Bus,UTA,3,Eastbound,23964,FRANKFORD AV & SELLERS ST,40.013456,-75.085911,Fall 2016,41,78
-8358439.21698319,4868075.18507212,82,319010E,Bus,UTA,3,Eastbound,19010,FRANKFORD AV & ORTHODOX ST,40.014676,-75.085137,Fall 2016,39,66
-8358294.61296464,4868341.61248607,83,323965E,Bus,UTA,3,Eastbound,23965,FRANKFORD AV & MARGARET ST,40.016509,-75.083838,Fall 2016,100,258
-8358177.05958237,4868512.40305388,84,323966E,Bus,UTA,3,Eastbound,23966,FRANKFORD AV & FOULKROD ST,40.017684,-75.082782,Fall 2016,20,42
-8358043.92147138,4868704.2734121,85,323967E,Bus,UTA,3,Eastbound,23967,FRANKFORD AV & HARRISON ST,40.019004,-75.081586,Fall 2016,11,55
-8357925.1435747,4868876.81454771,86,323968E,Bus,UTA,3,Eastbound,23968,FRANKFORD AV & WAKELING ST,40.020191,-75.080519,Fall 2016,9,65
-8357806.92227548,4869041.79982242,87,323969E,Bus,UTA,3,Eastbound,23969,FRANKFORD AV & DYRE ST,40.021326,-75.079457,Fall 2016,6,61
-8357695.93674316,4869235.71553924,88,320844E,Bus,UTA,3,Eastbound,20844,FRANKFORD TRANSPORTATION,40.02266,-75.07846,Fall 2016,0,929
-8364449.13365213,4871875.32331264,89,421534S,Bus,UTA,4,Southbound,21534,11TH ST & NEDRO AV - FS,40.040816,-75.139125,Fall 2016,167,0
-8364387.12869576,4871582.19272375,90,416044S,Bus,UTA,4,Southbound,16044,CHEW AV & 11TH ST - FS,40.0388,-75.138568,Fall 2016,11,0
-8364323.56526652,4871451.47904981,91,416045S,Bus,UTA,4,Southbound,16045,CHEW AV & 10TH ST,40.037901,-75.137997,Fall 2016,6,1
-8364328.79728258,4871367.43935536,92,428699S,Bus,UTA,4,Southbound,28699,10TH ST & OLNEY AV,40.037323,-75.138044,Fall 2016,94,5
-8364360.18937899,4871223.93377296,93,416053S,Bus,UTA,4,Southbound,16053,10TH ST & TABOR RD,40.036336,-75.138326,Fall 2016,18,1
-8364397.14744993,4871094.82414246,94,416054S,Bus,UTA,4,Southbound,16054,10TH ST & CLARKSON AV,40.035448,-75.138658,Fall 2016,17,2
-8364462.38067154,4870949.43242699,95,416058S,Bus,UTA,4,Southbound,16058,WAGNER AV & WARNOCK ST - FS,40.034448,-75.139244,Fall 2016,12,3
-8364484.75588919,4870810.58532883,96,416061S,Bus,UTA,4,Southbound,16061,10TH ST & WAGNER AV - FS,40.033493,-75.139445,Fall 2016,17,1
-8364458.70712834,4870659.23693707,97,416067S,Bus,UTA,4,Southbound,16067,10TH ST & FISHER AV - FS,40.032452,-75.139211,Fall 2016,57,9
-8364478.41067821,4870482.59404104,98,416071S,Bus,UTA,4,Southbound,16071,10TH ST & DUNCANNON AV,40.031237,-75.139388,Fall 2016,48,12
-8364505.68395346,4870281.82103929,99,416133S,Bus,UTA,4,Southbound,16133,10TH ST & LINDLEY AV,40.029856,-75.139633,Fall 2016,65,28
-8364532.06667277,4870068.98574255,100,416134S,Bus,UTA,4,Southbound,16134,10TH ST & RUSCOMB ST,40.028392,-75.13987,Fall 2016,32,14
-8364537.96660578,4869856.00963899,101,416135S,Bus,UTA,4,Southbound,16135,10TH ST & ROCKLAND ST,40.026927,-75.139923,Fall 2016,42,13
-8364440.78469032,4869768.20375791,102,428700S,Bus,UTA,4,Southbound,28700,ROCKLAND ST & 9TH ST,40.026323,-75.13905,Fall 2016,87,15
-8364452.02795889,4869574.42299994,103,416136S,Bus,UTA,4,Southbound,16136,9TH ST & LOUDON ST - FS,40.02499,-75.139151,Fall 2016,21,3
-8364482.1955409,4869375.12205904,104,416137S,Bus,UTA,4,Southbound,16137,9TH ST & WYOMING AV,40.023619,-75.139422,Fall 2016,10,5
-8364522.93847453,4869141.5191253,105,416138S,Bus,UTA,4,Southbound,16138,9TH ST & COURTLAND ST,40.022012,-75.139788,Fall 2016,24,12
-8364571.91905048,4868873.47126215,106,416139S,Bus,UTA,4,Southbound,16139,9TH ST & WINGOHOCKING ST - F,40.020168,-75.140228,Fall 2016,39,26
-8364599.08100623,4868700.34875396,107,416140S,Bus,UTA,4,Southbound,16140,9TH ST & CAYUGA ST,40.018977,-75.140472,Fall 2016,40,8
-8364635.25984074,4868487.11132898,108,416146S,Bus,UTA,4,Southbound,16146,9TH ST & BRISTOL ST - FS,40.01751,-75.140797,Fall 2016,44,9
-8364671.43867525,4868265.30275734,109,416147S,Bus,UTA,4,Southbound,16147,9TH ST & HUNTING PARK AV,40.015984,-75.141122,Fall 2016,61,15
-8364709.95521906,4868026.05739423,110,416148S,Bus,UTA,4,Southbound,16148,9TH ST & LYCOMING ST,40.014338,-75.141468,Fall 2016,67,8
-8364754.03773741,4867772.42872648,111,416156S,Bus,UTA,4,Southbound,16156,9TH ST & LUZERNE ST - FS,40.012593,-75.141864,Fall 2016,74,20
-8364789.77129396,4867563.13545431,112,416157S,Bus,UTA,4,Southbound,16157,9TH ST & PIKE ST - FS,40.011153,-75.142185,Fall 2016,47,17
-8364822.27658527,4867372.15919629,113,416158S,Bus,UTA,4,Southbound,16158,9TH ST & BUTLER ST,40.009839,-75.142477,Fall 2016,28,12
-8364841.86881565,4867161.71168725,114,4141S,Bus,UTA,4,Southbound,141,9TH ST & ERIE AV,40.008391,-75.142653,Fall 2016,36,39
-8364733.44363162,4867064.19229027,115,418193S,Bus,UTA,4,Southbound,18193,ERIE AV & 8TH ST,40.00772,-75.141679,Fall 2016,17,9
-8364666.54061765,4867085.41103425,116,417425S,Bus,UTA,4,Southbound,17425,ERIE AV & RISING SUN AV,40.007866,-75.141078,Fall 2016,58,14
-8364853.22340371,4866950.54198201,117,416159S,Bus,UTA,4,Southbound,16159,RISING SUN AV & 9TH ST,40.006938,-75.142755,Fall 2016,29,2
-8365275.01295433,4866706.38715469,118,416160S,Bus,UTA,4,Southbound,16160,RISING SUN AV & 11TH ST,40.005258,-75.146544,Fall 2016,30,12
-8365481.51060975,4866584.16666744,119,416161S,Bus,UTA,4,Southbound,16161,RISING SUN AV & OLD YORK RD,40.004417,-75.148399,Fall 2016,12,29
-8365629.00893505,4866501.33080795,120,416162S,Bus,UTA,4,Southbound,16162,RISING SUN AV & GERMANTOWN A,40.003847,-75.149724,Fall 2016,22,33
-8365935.36017371,4866353.53591324,121,417121S,Bus,UTA,4,Southbound,17121,BROAD ST & WESTMORELAND AV -,40.00283,-75.152476,Fall 2016,54,31
-8365981.00116494,4866199.20377115,122,421194S,Bus,UTA,4,Southbound,21194,BROAD ST & ALLEGHENY AV,40.001768,-75.152886,Fall 2016,153,115
-8366027.08743413,4865939.37315811,123,45169S,Bus,UTA,4,Southbound,5169,BROAD ST & CLEARFIELD ST - F,39.99998,-75.1533,Fall 2016,21,7
-8366060.26064238,4865750.02661118,124,417127S,Bus,UTA,4,Southbound,17127,BROAD ST & INDIANA AV,39.998677,-75.153598,Fall 2016,41,15
-8366104.12052176,4865500.23419979,125,417129S,Bus,UTA,4,Southbound,17129,BROAD ST & GLENWOOD AV,39.996958,-75.153992,Fall 2016,24,21
-8366136.06921561,4865304.79309667,126,417132S,Bus,UTA,4,Southbound,17132,BROAD ST & SOMERSET ST,39.995613,-75.154279,Fall 2016,10,5
-8366187.61013985,4865000.08702573,127,417133S,Bus,UTA,4,Southbound,17133,BROAD ST & LEHIGH AV - FS,39.993516,-75.154742,Fall 2016,110,95
-8366215.99661,4864823.10896776,128,417134S,Bus,UTA,4,Southbound,17134,BROAD ST & HUNTINGDON ST,39.992298,-75.154997,Fall 2016,23,12
-8366247.83398437,4864631.60424685,129,417135S,Bus,UTA,4,Southbound,17135,BROAD ST & CUMBERLAND ST,39.99098,-75.155283,Fall 2016,29,13
-8366292.36178069,4864364.54996352,130,417136S,Bus,UTA,4,Southbound,17136,BROAD ST & YORK ST - FS,39.989142,-75.155683,Fall 2016,23,8
-8366320.63693135,4864193.68548657,131,417137S,Bus,UTA,4,Southbound,17137,BROAD ST & DAUPHIN ST,39.987966,-75.155937,Fall 2016,43,20
-8366357.14972433,4863974.44277511,132,417138S,Bus,UTA,4,Southbound,17138,BROAD ST & SUSQUEHANNA AV,39.986457,-75.156265,Fall 2016,74,58
-8366393.7738368,4863754.33319492,133,417158S,Bus,UTA,4,Southbound,17158,BROAD ST & DIAMOND ST,39.984942,-75.156594,Fall 2016,28,15
-8366431.73378316,4863532.19454764,134,417159S,Bus,UTA,4,Southbound,17159,BROAD ST & NORRIS ST,39.983413,-75.156935,Fall 2016,17,17
-8366468.8031736,4863310.93254404,135,417160S,Bus,UTA,4,Southbound,17160,BROAD ST & BERKS ST,39.98189,-75.157268,Fall 2016,8,7
